review_id,sales_id,purchase_date,item_name,promo_code,promo_name,total_price,price_after_promo,quantity
2070,7482,2022-09-30,SCABIMITE CREAM 30GR,2,GRATIS_ONGKIR,73000,68000,1
2196,7608,2022-09-11,Bless Acne Face Powder - IVORY,2,GRATIS_ONGKIR,231750,226750,3
13,5425,2022-07-09,PIXY Make it Glow Skin Primer 101 Beige,2,GRATIS_ONGKIR,116000,111000,2
10,5422,2022-07-29,PARIET 20 MG BOX 14 TABLET,2,GRATIS_ONGKIR,538850,533850,2
16,5428,2022-07-05,Hand Operated Paper CD Card Shredder / Penghancur Kertas Manual - Blue - Biru,2,GRATIS_ONGKIR,119600,114600,2
17,5429,2022-07-14,Selang & Regulator Gas Quantum QRL - 032,2,GRATIS_ONGKIR,188000,183000,2
18,5430,2022-07-19,PIXY Concealing Base 4 Beauty Benefits 04 Caramel Beige,2,GRATIS_ONGKIR,32000,27000,1
20,5432,2022-07-20,"SWEPO Hoodie Jumper Brooklyn 1991 (Sablon) S -XXL - HIJAU LUMUT,M",2,GRATIS_ONGKIR,149600,144600,2
21,5433,2022-07-08,"Baju Inner Tanpa Lengan Sleeveless - Atasan Daleman Busui / Blazer - Hitam, L",2,GRATIS_ONGKIR,110000,105000,2
24,5436,2022-07-12,GREEN LASER POINTER / LASER POINTER HIJAU 303,2,GRATIS_ONGKIR,55000,50000,1
25,5437,2022-07-20,"Jaket Rompi Vest Parasut - Rompi Bikers - Rompi Motor - Rompi Tebal - Green Army, L",2,GRATIS_ONGKIR,260000,255000,2
29,5441,2022-07-11,Tap Smart Pompa Galon Electric Dispenser Air Minum Water Pump Elektrik,2,GRATIS_ONGKIR,68888,63888,1
34,5446,2022-07-06,"Parayu - Jas Blazer Wanita Kancing Satu Formal Kantoran - Hitam, M",2,GRATIS_ONGKIR,162500,157500,1
38,5450,2022-07-06,Takabb Handy PackThailand/Takabb cough untuk sakit tenggorokan - ORIGINAL,2,GRATIS_ONGKIR,25500,20500,1
41,5453,2022-07-24,"JAKET WANITA JAKET PARKA JAKET SEMI PARKA ORIGINAL - SANDANGMAS MULYA - Blazer Abu, M",2,GRATIS_ONGKIR,130000,125000,1
42,5454,2022-07-09,karet Seal Tabung gas LPG SNI Ball isi 1000pcs,2,GRATIS_ONGKIR,120000,115000,2
45,5457,2022-07-07,Atasan Wanita Bahan Rajut Cardigan Import - CardiGCBiru,2,GRATIS_ONGKIR,142000,137000,1
46,5458,2022-07-02,T&W Pompa Air Galon Elektrik Dispenser Dengan Tatakan Water Pump - Putih,2,GRATIS_ONGKIR,239700,234700,3
47,5459,2022-07-11,"Jaket Tactical Pria Jaket Tad Free Logo Indonesia Garuda Anti Angin - Crem, M",2,GRATIS_ONGKIR,124900,119900,1
51,5463,2022-07-01,Regulator Gas Quantum QRL 03,1,AWAL_GAJIAN,192000,177000,3
52,5464,2022-07-13,Pencetan Pompa Galon Elektrik Recharge Usb,2,GRATIS_ONGKIR,50000,45000,2
55,5467,2022-07-25,REGULATOR WINN GAS W 900 M DOUBLE LOCK / PENGUNCI GANDA,2,GRATIS_ONGKIR,299700,294700,3
58,5470,2022-07-25,PIGEON Compact Powder + UV Protection Refill / Bedak Remaja - UV NATURAL,2,GRATIS_ONGKIR,27000,22000,1
60,5472,2022-07-15,MAKE OVER Powerstay Demi-Matte Cover Cushion 15 g - N10 Marble,2,GRATIS_ONGKIR,168750,163750,1
62,5474,2022-07-07,"CLOUWNY - Denis Jacket Premium Canvas Twill Jaket Unisex Casual - Brick, XXL",2,GRATIS_ONGKIR,189000,184000,1
63,5475,2022-07-09,W60 Pompa Galon Elektrik - Water Pump Electric - Pompa Air Elektrik,2,GRATIS_ONGKIR,68000,63000,2
67,5479,2022-07-03,"Sweater Candiez Oversize Wanita Sweatshirt Crewneck Switer Terkini - Denim - Mint, L",2,GRATIS_ONGKIR,101000,96000,2
69,5481,2022-07-15,Outerwear Pria Erigo Hoodie Godfrey Fleece Black - M,2,GRATIS_ONGKIR,390000,385000,2
70,5482,2022-07-29,"JAKET OUTDOOR PRIA JAKET MOTOR ANTI AIR JAKET MILITER FASHION PRIA - hijau army, M",2,GRATIS_ONGKIR,238000,233000,2
73,5485,2022-07-08,CANDESARTAN OGB DEXA MEDICA 8 MG BOX 30 TABLET,2,GRATIS_ONGKIR,25260,20260,1
4,5416,2022-07-09,"GDFLLW Corduroy Mens Trucker Jackett - Brown, S",0,,229000,,1
5,5417,2022-07-19,"rompi terbaru , rompi anti angin , rompi motor , rompi original - S, Hitam",0,,450000,,3
7,5419,2022-07-23,PULMICORT 0.25MG RESPULES 5`S/BUDESONIDE/ASMA/SESAK NAFAS,0,,217500,,3
9,5421,2022-07-18,Raecca Instant Blurring Effect Powder - Amazing,0,,138000,,2
11,5423,2022-07-30,AMLODIPINE BESILATE KIMIA FARMA 5 MG BOX 50 TABLET,0,,17244,,2
12,5424,2022-07-28,"Blazer Kerja Wanita Formal Lengan Panjang Hitam High Quality - Abu, S",0,,130000,,2
14,5426,2022-07-05,tabung gas 3 kg / Tabung Gas 3kg Kosong / Tabung Gas Melon 3kg,0,,485997,,3
15,5427,2022-07-22,PARIET 20 MG BOX 14 TABLET,0,,269425,,1
19,5431,2022-07-30,Raecca Instant Blurring Effect Powder - Amazing,0,,207000,,3
22,5434,2022-07-09,Timbangan digital gram Kitchen scale Timbangan kue buah SF-400 10KG,0,,53776,,2
23,5435,2022-07-17,BASEUS WIRELESS PRESENTER POINTER PEN REMOTE CONTROL LASER POINTER PEN - Abu-abu,0,,159000,,1
26,5438,2022-07-04,VENTOLIN 2.5MG NEBULES 4`S/SALBUTAMOL/ASMA/SESAK NAFAS,0,,104000,,2
27,5439,2022-07-14,DUMA x NAGITA - CHAI BLAZER SHIRT NAVY,0,,2025000,,3
28,5440,2022-07-22,Hand Operated Paper CD Card Shredder / Penghancur Kertas Manual - Blue - Biru,0,,179400,,3
30,5442,2022-07-14,Sanken Dispenser Galon Bawah Low Watt HWD-C535IC HWD 535IC,0,,1439000,,1
31,5443,2022-07-16,Sodium Percarbonate / Hydrogen Peroxide Powder / H2O2 Powder - 1 Kg,0,,25000,,1
32,5444,2022-07-10,CANDESARTAN OGB DEXA MEDICA 16 MG BOX 30 TABLET,0,,66686,,2
33,5445,2022-07-21,ESQA Flawless Liquid Mini Concealer - Vanilla,0,,90000,,2
35,5447,2022-07-01,"Kartu RFID 13,56 MHz S50 1K / M1fare compatible",0,,1670,,1
36,5448,2022-07-29,CARDIGAN PREMIUM HOT BERSHKA WANITA PREMIUM KNIT - CARDIGAN WANITA - MUSTARD,0,,99000,,2
37,5449,2022-07-09,SOMETHINC Copy Paste Breathable Mesh Cushion SPF 33 PA++ - Serene Refill,0,,197500,,2
39,5451,2022-07-10,BENOSON N KRIM 15 GRAM,0,,122052,,3
40,5452,2022-07-21,LO HAN KUO LOHANKUO LOHAN KUO INFUSION SSA,0,,21500,,1
43,5455,2022-07-08,PROSTACOM 5 MG BOX 30 TABLET,0,,202710,,3
